H,K,L,Distance,2theta/TOF,Mult
0,0,1,5.64,15.712473622078724,6
-1,0,-1,3.988,22.292022559000273,12
-2,0,-1,2.5222,35.59500410595834,24
2,-1,-1,2.3025,39.123024133832935,24
2,2,1,1.88,48.41768910296461,24
-3,0,1,1.7835,51.22102293597541,24
-3,0,2,1.5642,59.05649242622327,24
-3,-2,-1,1.5073,61.521933630673644,48
-4,1,0,1.3679,68.60737421797359,24
1,-4,-1,1.3293,70.89325463237842,48
2,4,1,1.2307,77.57117248794115,48
-3,-2,3,1.2024,79.75540528860849,48
5,0,0,1.128,86.22604578199935,6
0,-5,-1,1.106,88.37910349917757,24
